,Date,Reviews,Rating,Location
132,2022-09-23,"Not Verified |  I would like to thank all the air and cabin crew for having the best experience with a very long journey! I don’t know how you manage to keep smiling. Couldn’t fault anything. Helpful, reassuring, excellent food and I can’t wait to fly again. Thank you and I really appreciated you.",10,United Kingdom
133,2022-09-20,"✅ Trip Verified |  British Airways personnel was just magnificent. My flight into London was delayed, security had long lines, I ran like a madman to find the gate closed but the plane was still there… the lady at the gate worked the computer at 200 miles an hour to allow me to board (the software program was already closed). This while the flight manager, who came towards the gate, urging her to make a decision since the plane was about to loose its take off spot in line. I was sweating from the run, still out of breath while she handed me my passport giving me the green light to board. I bolted again into the plane feeling bad that I did not personally thank her for her magic. I really hope she gets recognized by British Airways for her performance. Thank you for all you do !",10,Netherlands
134,2022-09-16,Not Verified |  Good flight apart from my seat fabric was coming apart on39J and lack of good leg room. Meal was good from Singapore. Should be more snacks on board. My neighbours passenger charger and headphone socket didn’t work.,4,Australia
135,2022-09-14,✅ Trip Verified |  Flight was 1 hour late leaving gate. Crew were friendly. Seats comfortable. But the complimentary snack provided was a bag of ready salted crisps.,5,United Kingdom
136,2022-09-11,"✅ Trip Verified |  London to Istanbul. British Airways Business Class rows comprise of three seats with the middle seat empty. Front rows about 5-7 are considered as Business Class, with very short leg space.  No pillows, no blanket, horrible inflight service, staff were harassing me. No curtesy for business Class check-in while waiting for flights. ",1,United States
137,2022-09-10,Not Verified | London to Manchester. British Airways is probably the worst air company I have ever flown with they took 2 hours to unload the luggage and the flight was delayed by an hour. The staff were no help and frankly rude.,2,United Kingdom
138,2022-09-07,Not Verified |  Flight was cancelled at the last minute due to “weather” despite pretty much all other flights not being affected. Booked onto a flight the next day. Arrived at the airport 2.5 hours ahead T5. Horrendous check-in and security delays meant we almost missed the new flight. The flight was fine once we got on it but the damage was done.,2,New Zealand
139,2022-09-07,"✅ Trip Verified |  After having a few not so good experiences in the past, I feel I have to write a positive review as well where it is deserved. First of all, the improvement in the BA lounge in Gatwick is massive. The buffet was a joy. We flew on a BA flight but operated by Iberia Express. Wonderful staff and the food was exceptional. Whoever brought in this change of food supplier ... congratulations! Also may I add that this time business class was not 11 rows like last time, but 5 rows which was definitely a big improvement and could be felt in a much more attentive service. I am still not clear on luggage being labelled ""priority"". The luggage certainly does not come out first in the destination airports.",7,United Kingdom
140,2022-09-06,"Not Verified |  This review is for BA booking system not a flight . Today I clicked wrong date on line, my mistake and expect to pay a fee. I then go to “cancel booking” and click on the option to not receive a voucher, immediately I received a response saying my voucher is on its way. I call them and speak to a gentleman who continuously spoke over me and would not listen to my concerns and eventually I give up and want to book a new flight, obviously at a much higher price but using the voucher I didn’t want. However to my surprise I am unable to use this voucher because they can’t tell me what it is until I receive it at a point in the future that they can’t say when. So they now have my money and I have to re-book at full cost. In the end in order to get me off the phone they hung up.",1,United Kingdom
141,2022-08-31,✅ Trip Verified |  Manchester to Seattle via London. I will never fly BA again. They cancelled my return flight from Heathrow back to Manchester and then cancelled the alternative offered. We had to get our son come all the way to London to pick us up and take us to our car in Manchester. The food was terrible and on the return journey as soon as they had finished serving they were round taking our trays so that they could settle down for the night. I will not be flying BA again,4,United Kingdom
142,2022-08-28,"✅ Trip Verified |  Our flight in March 2022 from San Francisco to London on 28th March was cancelled with 3 hours’ notice. We found out on the shuttle bus to the airport. We had to stay overnight for the next day flight. We still have not been recompensed for our expenses (filled in on line) and have received no replies on follow-ups. It is the usual 30 min or longer time to wait on customer service picking up. During this trip, we had to re-schedule a return flight (my wife was ill). This should not have been a problem as the flights were re-bookable. We were given a voucher. This voucher was only bookable by phone. When I phoned to rebook, we got the automated voice saying BA were not taking flight bookings by phone. You can see the problem - how do a use a voucher where I must phone and they are not taking phone bookings ? All I have been offered is another voucher. The time to use has passed. It must be great to be a business that can print endless A4 vouchers and not return money paid for services not rendered. We returned home with Aer Lingus with no drama.",1,United States
143,2022-08-23,"Not Verified |  I sat in seat 25C. Our Cabin Crew lady was called Gina and she went above and beyond to keep the customers happy. She greeted us as we boarded with a very cheery smile, she engaged with two families travelling with young children and gave out games and books. Her trolley service was excellent and she took great care in what she was doing. She had time for a quick chat and I think she said she was half German and half Bulgarian, a really lovely young lady who is a credit to British Airways.",10,United Kingdom
144,2022-08-23,"✅ Trip Verified |  Full afternoon flight. Ready to fly on time. Arrived early. Uneventful flight. Good service. Pre dinner drinks. Drink with meal. Coffee, Drinks available at back. AVML meal was tasty. Hard working crew on a full flight. Audio worked well.",9,United Kingdom
145,2022-08-22,"✅ Trip Verified |  I was told I'd require a 48 hr negative covid test for entry into Philippines. Booked my trip via BA.com, with a transfer in Singapore. They delay my transfer to the next day, okay, not too bothered as have my 48 hr negative covid test, but when I try to check in at Changi Airport, the Philippines Airlines check in staff require a 24 hr negative covid test. Had to rush to a different terminal, get tested, wait for the result, rush back to check in ...the gate had closed.  Had to book an extra night in Singapore hotel, book my own flight to Manila, then also the return journey back to London. If one misses one leg of a BA booked flight, the remaining flights get cancelled.  I discovered Oman Air Business Class and better then British Airways, from treating their customers, quality of service, the business class experience.",1,United Kingdom
146,2022-08-21,"✅ Trip Verified |  Having been promised help to find a hotel room after an outgoing flight from Heathrow was running very late and my hotel would be closed, I boarded the plane on this basis. I was subsequently dumped at Barcelona airport at 0038 to sleep the night on the floor. There was no help at there to find a hotel. I have MS and can't walk without help, BA did nothing, their partners Iberia did nothing. At about 3 am some kind people helped me to an more secure area and toilet and got me some sandwiches. I lost my holiday, my hotel booking, and my music course. BA insist it's not their fault it's the hotels for closing. I would not have got on the plane had I known. I found out I could go to arbitration. BA now say they will withdraw the 'offer' of expenses if I do. Their policy of refusing all compensation for what would have been a dreadful experience for any passenger, is bad enough. For someone who is not mobile, it seems to have ditched the specific responsibilities of Duty of Care and towards Disabled Passengers. So for people with disabilities it's just not worth the risk of travelling with BA.",1,United Kingdom
147,2022-08-20,"✅ Trip Verified |  I am a business class customer. British Airways cancelled my return flight and chose an alternative flight with 3 stops. After I complained, they changed the date. When I told them the date would not work, they attempted to charge me additional $5,000 for the change. I submitted a complaint and have not heard anything.  If you try to reach out, no chance.",1,United States
148,2022-08-15,"✅ Trip Verified |  Barbara Collins was super helpful. My boyfriend & I booked flights separately thinking we were on the same one but we found out at check in that he was on separate, slightly later one. Barbara was able to make some changes to ensure we flew together & even managed to put us sitting together! Much appreciate BA! We had a terrific flight over. Food, drinks & nibbles were great & staff were so friendly. Looking forward to returning home with BA.",10,Ireland
149,2022-08-10,"Not Verified |  My husband, parents who are in their 80’s and I were traveling back to NY from Naples, Italy and had a stopover at Heathrow, London. Let me just say we were not happy when we arrived late to London and missed our connecting flight back to NY. The reason writing this review is the great customer service that Kashmir Dhami gave us. She was very helpful in booking all four of us on the same flight the very next day, which was very hard to do because we all had different bookings so it just made it all so difficult, but she got it done! She is so kind and is amazing at her job.",10,United States
150,2022-08-04,"Not Verified |  On our recommendation my son and his young family (child 4 and baby 9 months) and wife, flew BA to the USA from Cape Town, leaving yesterday evening. Just got off the call with him, after their arrival at Heathrow. Shocked at what he told us re the cabin service provided (or not!!) especially as my wife and I have used them many times a year for + 20 years of business flights from RSA, this our recommendation to him to use them for his holiday. My grandson had a coughing fit, so they asked (bell push) 4 times for glass of water - all ignored. Last one was told ""wait till drinks are served!"" Then when evening meal served - no food available for the 4 year old, which was pre-ordered online, they said nothing available and when my son explained it had been pre-ordered - the cabin staff supervisors response - ""prove it Sir"", that sealed it for us, if that’s the BA response to what’s seen as cattle class - it will permeate to our normal travel class, so our next booking will be an alternate.",1,South Africa
151,2022-07-31,"Not Verified |  We had a nice flight. pushed-off exactly on time. Cabin crew very efficient in all things; friendly for the most part as well. Dinner (hot!) and complimentary wine served in premium economy very good. Do avoid middle seats though, even in premium economy. Only issue was with indifferent/non-helpful BA call center who refused to honor one world status to select seat choice in advance. Nice start to a 3 week trip to England.",8,United States
152,2022-07-30,"✅ Trip Verified |  Holidays ruined, 2 suitcases lost in 2 flights I travelled from London Heathrow to Amsterdam with my brother, before boarding we were told we couldn't take our cabin suitcases with us in the cabin, so they sent them to the cargo. At our arrival in Amsterdam, one of the suitcases was missing, left at London Heathrow, so we had to fill in a report in Amsterdam, this was 3 days ago and we still don't have the suitcase or any information about it. Today I travelled from Amsterdam to London City Airport, again they didn't allow me to board with my cabin suitcase, and when I arrived in London, the suitcase was missing, left in Amsterdam. 2 Suitcases, 2 different flights, they've ruined my holidays. No compensation, no dates on when will I get my property back, no information, lies and more lies.  I was told I could complain online and buy all the things I need, shoes, toiletries, clothes, and I might receive the money back in 30 days! Yes, I might.",1,United Kingdom
153,2022-07-27,✅ Trip Verified | Despite BA's promise to credit double tier points for a holiday booked on their website I have received no additional points and my four email communications (including to the Chief Executive) have remained unanswered. Do not be taken in by this marketing con - they just want you to book a holiday and then do not follow up on their promises. Some things just do not change at BA.,1,United Kingdom
154,2022-07-27,"✅ Trip Verified |  Refund process is non responsive I have been following up on my refund since October, 2021 which is 9 months now. I have contacted the customer service deck and sent mails to [email protected] several times and all they tell me is it’s been processed. British Airways customer service is bad and needs to be worked on. Till today I have not received my refund. I am just wondering what is happening!",2,Ghana
155,2022-07-27,"✅ Trip Verified |  Customer service is non-existent. For over a week customer service number message said to call back in a couple weeks. Nothing we needed to accomplish could be done on BA.com I was flying to Nairobi to bring my sister back after her husband died suddenly, My sister and husband had tickets on the July 18 from Nairobi to JFK. When BA received the death certificate, they cancelled my sister's ticket, not once but twice. It took almost 5 weeks to correct this incompetence. My niece and my wife were on the phone for hours plus hold times. 8 times we were told by the web help number we would get a return call and no one ever called back. The ticket was in premium economy. When I tried to upgrade to be with my broken- hearted sister, the price was $4029.00 plus a $25.00 service fee. Where is the efficiency? Where is the empathy? Where is the decency? In addition to the stress of losing her husband, my sister had to go through totally unnecessary stress of not having a ticket until 7 days before her flight. Also when I made my reservation, i was given a price and within 10 seconds was told there was a $1400.00 increase. British Airways has taken a nosedive in my opinion. Words simply don't convey my very deep frustration and disappointment with the company",2,United States
156,2022-07-23,"✅ Trip Verified |  Flight on A380 SFO to LHR. Smooth check in at San Francisco. Airport quiet and efficient. Dedicated BA lounge, excellent food and beverage options and attentive staff. Lounge was very crowded though. Minor departure delay and onto A380 upper deck. I prefer the club world cabin on the upper deck as it is very much quieter. Old style product but clean and well maintained. Staff offered a good level of service and reasonable meals. On time arrival, baggage quite slow. A good flight overall.",8,United Kingdom
157,2022-07-22,"✅ Trip Verified |  For this 5 hour 15 min flight, you are given a bag of potato chips, and a bottle of water. If you want to purchase more food and drink you do this via their app on your phone. Or like me you can pre-order weeks before you fly. However there is no guarantee you will get your order, mine never came, so after enquiring where the order was, they told me they had food for someone who was not on the plane, that someone was me it turned out. They also managed to lose my luggage.  I am still waiting for them to contact me regarding it. I will never use them again.",1,United Kingdom
158,2022-07-22,"✅ Trip Verified |  My wife and I booked a flight in April 2022 that included a return trip from Edinburgh thru London to Washington. When we checked in at Edinburgh Airport 3 hours ahead of time we were informed there were no more seats available on our scheduled flight. We asked how this was possible and were simply told that others had checked in on-line (which we hadn’t done).  We were instructed to come back in 2 hrs and 15 mins, still with our luggage unchecked and not yet going thru security, to see if we could get on the flight via standby. We waited and then finally at 1:15 PM, 45 mins before our scheduled 2:00 PM flight, we were told we could be on the flight and were given boarding passes for the flight to London but no boarding passes for the connecting flight (1:55 mins after arrival time). Our luggage was not checked thru to Washington but only to London. We were told we’d get thru security on time to make the flight and it was suggested that staff would assist us. When we got to Security Check area the line was massively long. We questioned a BA staff member who said we had to get in line like the others. We decided to pay (12 pounds) to go through “Fast Track” Security to make our Flight. We got to the gate in time. Yet, due to a delayed departure caused in part by luggage-space issues on the plane, our flight arrived in London 45 mns late, and after going to the “flight connections” we were told 25 mins before the scheduled departure, with a vague explanation of “there isn’t enough time,” that we could not be given a boarding pass for our flight. We were then directed to baggage claim to retrieve our luggage and then proceed to the check-in area to be rebooked for a later flight. When we got to the check-in counter area a BA staff person, standing at entrance to the check-in line, advised us we should try to call our travel agency to rebook because the line for checking in had not hardly moved in 3 hrs. When we finally got thru on the phone, we were informed that the best BA could do for us was to get us on a flight 5 days later, and then not to our original destination (IAD), but to Baltimore. I was not told or assured I’d be compensated for this extreme expense of staying 5 more days in a hotel - just that I could go to the BA website and make a claim on-line. This ugly experience, still ongoing, has ruined our trip to the UK. ",1,United States
159,2022-07-20,"Not Verified |  Decent flight and airplane, non existing customer service for refunds and support after delayed flight. Flight on 18th June-2022 from Vancouver to London airport was delayed for roughly 4 hours. We received a 10 CAD voucher for some drinks, this was appreciated. Because of this delay we missed our connecting flight to Amsterdam (from London), within the airplane we have been informed to go towards the British airway information desk to reschedule another flight towards Amsterdam. When we left the airplane in London, there where 3 employees working and a 400 people waiting line. We asked around towards the nice employees British airways have and we have been told this was the only line/desks to get a reschedule for our flight to Amsterdam, so we had to wait and be patient. After 4 hours of waiting and being roughly halfway the line we felt like uninformed cattle in an 4h waiting line with only candy bars and sugar cookies to eat.  At some point after 4 hours they were giving away hotel vouchers and shuttle bus vouchers because we couldn’t sleep/stay at the airport, as we noticed on the website we have been assigned another flight. This flight was about to leave Tuesday morning (it was Sunday 5pm when we arrived in London). This meant we have to spent 2 additional days in London before we were able to fly to the Netherlands. We have been told by the employees we could arrange our own transfer back to the Netherlands and save the receipts, and we will get a refund on the costs (hotel, food, transport) and a refund on the flight for Tuesday as we where not going to take this flight. They released out baggage, gave us a hotel voucher and cancelled the Tuesday flight they gave us. We were going to make our own travel back to the Netherlands. Seems British Airways claims & refund process is non responsive, as we already requested information 2 times for our compensation, but received nothing yet. apart from an automated email saying we could get a small refund based on our missed flight. ",1,Netherlands
160,2022-07-18,Not Verified |  Reasonably smooth boarding. Meal service was smooth ad efficient but no ice or spirits available as no room on the trolley - could they have offered to serve this afterwards? Seat was very uncomfortable indeed on this aircraft so got little if any sleep on the long overnight flight. Cabin crew spent much of the time between meals talking loudly at the rear galley meaning we couldn't sleep even if the seats were comfortable. This was so disrespectful and inconsiderate.,5,United Kingdom
161,2022-07-18,"✅ Trip Verified |  Three flights, London to Reykjavik return and Frankfurt to London. Generally the flights were of an acceptable standard, though the seats and legroom are quite tight for a three-hour flight. The cabin crews were efficient and generally friendly. A big plus for BA was informative announcements from the cockpit, often missing on other airlines. Flights operated generally close to the advertised times. But BA was let down by chaotic check-in and boarding procedures. In preparation for each flight the number of check-in staff was one or at most two (in Frankfurt the lone check-in agent was also checking in Business Class passengers). Why are Economy class passengers boarded from the front and not from the back? This was standard across the three flights, but slowed down the boarding process immensely as people seated further back tried to get past forward seated passengers stowing their (enormous) cabin baggage. It would make much more sense to board people at the back first. And to enforce baggage rules so that cabin crew are not wandering up and down the cabin trying to find overhead space for the hapless passengers who boarded last. The small bottle of water and a half-full bag of crisps offered as a snack on a three-hour flight to Iceland was just tokenism and compared badly with what Air France offered on a subsequent short flight to Paris. At Reykjavik there was no departure lounge next to the gate -- passengers had to queue wherever they could in the corridor.",5,Australia
162,2022-07-17,✅ Trip Verified | Routine typical BA domestic shuttle flight. Nothing special. Departure five minutes early but no one to greet flight upon arrival hence a 30 minute delay. Crew were attentive and charming. Usual clean cut BA product that when it works well is fine.,7,United Kingdom
163,2022-07-13,"✅ Trip Verified |  Over 1 week ago I cancelled 2 Club Europe flights due to testing positive for Covid the day before. They were booked many months ago and eligible for the Travel Voucher, so I opted for this online. Since then, absolute silence and BA pages state it might take up to a week (previous vouchers have been received within a few hours of cancellation). As a very loyal BA customer for more than 40 years, I am appalled at the absolute state of chaos that the airline now portrays. With a further 6 bookings with BA planned for the rest of 2022, I have to admit that travelling with them (ex LHR) has now become an absolute nightmare.",1,United Kingdom
164,2022-07-12,Not Verified |  Flight delayed slightly due to luggage conveyor breaking down. Luggage never made it to Toronto and we filed a lost baggage report. Within 24 hours our luggage arrived in Toronto and a wonderful BA representative went down into the baggage loading area to retrieve it for me. Would definitely give BA a 5 star rating and have them again.,10,Canada
165,2022-07-09,"✅ Trip Verified |  Check in and security at LHR efficient. Went to Galleries North which was busy but fine with good service. Left from B gates. Efficient boarding with welcome drinks and menus. This was my first time on the club suite. Travelling with 2 children. BA moved our seated but we were all seated near to each other and they apologised for this at check in. It was a full flight in all cabins so staff busy. I liked the new suite which felt superior to the old club world product. The entertainment was excellent and the screen large and well positioned. The menu was quite limited but the quality was reasonable. Prior to COVID one could pre order mains in club which might be worth bringing back. As it happened we all ordered and were able to have the beef dish but I doubt my children would have liked the vegetarian korma had they run out. The club kitchen ran out of food quite quickly. It was a long flight so this was not surprising but my children were quite hungry as a result. Part of this was the result of other passengers from other cabins taking food from it. The second meal was fine and the cabin service director did source an alternative meal for my children from economy which I thought was quite good. On time arrival, prompt disembarkation and bags off quickly. We don’t tend to have a good track record with bag delivery so this was a pleasant surprise. Overall a good flight.",8,United Kingdom
166,2022-07-07,"✅ Trip Verified | Washington to London. Our flight was unexpectedly cancelled. My husband spent hours on the phone in the middle of the night to try and rebook our flight. We were told by the customer service representative that we should just cancel our trip (after spending thousands in lodging, tickets, tours, etc). When we finally rebooked we still lost one day, one day of lodging, and tickets to a show. We tried to at least get another day on the end of our trip but no one could help us. No one cared that our family vacation was totally altered and cost us a bunch of money. We are so disappointed and angry with the customer service here!",1,United States
167,2022-07-06,"Not Verified | Nairobi to New York via London. British Airways has given me such grief, trying to cancel a ticket for my uncle who passed away, they canceled a ticket instead for my newly widowed aunt after they split her booking off the original booking. It is now less than two weeks until her scheduled flight, and I have been trying to amend her booking and hours and hours I have spent on hold, or with an agent, being told that my query has been prioritized and that I will receive a call back within 48 hours. I call every 2-3 days and nothing has been done to reinstate her ticket and no agent can ever resolve the situation. I will never book with BA again. Sure, flying with them is easy, but their total lack of practical assistance has caused distress and frustration and so many hours of wasted time. And to think I spent more money on a ticket with BA than other cheaper carriers thinking it would make my life easier. BIG MISTAKE",2,United States
168,2022-07-06,"Not Verified |  Today, my husband and a friend flew from Dublin to London City Airport. All apparently went well from check-in through the flight. After that, the ineptitude and lack of systems seemed to be in full bloom. We waited and waited for our bags to come off the baggage carriage, but neither my husband's nor mine came. I found a BA service person to ""help"" me. He told me that there were 60 bags checked and 59 on the plane.  I thought, one of our bags made it. Then, two other customers from the same flight were complaining to someone else that they, too, had not gotten their bags. So, I assumed the 59 out of 60 was some kind of interesting fiction. I was then told to file a claim on BA.com which we did. At this time, about 10 hours after our flight landed, the system says they have no idea where our bags are! Now, I've had bags not get on flights before - less and less as airlines have tracked their bags fastidiously (I usually fly United Airlines which tracks your bag at every stage of the flight with updated info - e.g., ""Your bag was loaded onto the plane""; ""Your bag is on its way to baggage claim""). BA doesn't seem to have anything like this. In this case, again, it appears BA cannot even locate the bag. I hadn't flown BA in many years and with experience I would never book them again.",1,United States
169,2022-07-04,"Not Verified |  British Airways is poorly staffed at Venice airport. No one to check in 2 flights departing within 15 minutes of each other 1.5 hours before. Huge line snaking through airport. Flight crew fine. London to Baltimore segment on an older 787, usually they are much nicer. Limited TV and movie selections, wifi did not work. Flight crew ok, food adequate.",4,Italy
170,2022-07-04,"Not Verified |  I booked a flight for myself and my wife from Heathrow to Nairobi in Premium Economy using Frequent Flyer points. I then paid $205 to reserve two seats on our own, in a 2-4-2 configuration cabin, as I didn't want to sit in a row of 4 people if possible. A few weeks before our flight BA emailed me to say they had changed my seat selection. When I logged in to see my new seat selection I had been moved into a row of 4? The email also stated that if I wasn't happy with the new seat selection they had made for me, I could get a full refund of the money I had paid. I called to cancel the reservation, which they did, and I paid $200 cancelation fee and they refunded my frequent flyer miles. When I asked them to refund the fee for my seat reservation, they told me all seat reservation fees are non refundable. I read them the email they had sent me when they changed my reserved seats, but the repeated that seat reservations are always non refundable.",1,United States
171,2022-06-30,"✅ Trip Verified |  Departure was about 40 minutes late. The A350 we flew on was about eighteen months old. The seating spacing in economy class seems very tight and if the seat in front is fully tilted back, it is a real challenge to get out of the seat. The screen becomes so close to your face it becomes difficult to focus on the screen. Audio was so poor due to music drowning the conversation, I gave up trying to watch. The cabin crew seemed to really struggle with service, it felt very disorganised. Felt sorry for the cabin crew they seemed to be working hard and there seems to be a lot of up and down the aisles on this type of aircraft - felt unnatural. The overhead bins are very high and many passengers had difficulty accessing their belongings during the flight. I tried using the overhead attendant light to verify my wife's meal but no one responds - better to stop a flight attendant in the aisle. Nice aircraft for a two hour flight but no fun for close to eleven hours. I am going to explore other options before using BA again, the hassle to make contact with anybody before the flight puts you off before you even go to the airport.",6,South Africa
172,2022-06-30,"Not Verified |  Was going from Belfast to London but they cancelled the flight, and we didn’t even know it was cancelled. Someone behind us had to tell us. we had a connecting flight and spent a lot of money on our holiday. the refund takes ages. Overall not happy at all. ",1,Ireland
173,2022-06-29,"Not Verified |  Second time getting poor service from BA. 1st, unable to contact via phone, email or website. 2nd even with four business class tickets across the Atlantic, they do not allow free seat selection or check in until 24 hours prior to the flight. Do they understand what the last 24 hours of an international trip are like? By the time we confirmed our seats my wife and our kids were spread throughout the plane. Of course no-one at the airport could do anything. ",1,United States
174,2022-06-28,"Not Verified |  Booked a flight from London to Paris 2020. Trip was cancelled due to Covid lockdowns. We asked BA staff for refund, told cannot do but will issue vouchers. We stated no good for two elderly people from Australia as would not know when we can travel. Informed no other option and silly vouchers sent. Now they are running out of date and unusable! Have been asking for two years for refund! Many many emails. They keep saying we took vouchers! Had no choice. Does anyone have any other options re complaints! We would be most grateful. Really not fair to just take our money! ",1,Australia
175,2022-06-27,"Not Verified |  We left MIA late due to an issue with the provisioning of the plane. We arrived late and so missed our connection at LHR to CDG. At LHR British Airways rebooked us on not 1 but 3 flights to CDG and as such said I never took the flight to CDG and then cancelled my flight back to MIA since I did not take my flight. They did credit my AVIOS for the one flight but said I never took it. Thus I had to book on another airline to return at the last moment. Trying to call BA was a nightmare on hold for over 1 hour, a total of $127 extra on my calling plan only to not be helped as the person did not know what to do so he had us contact duty office who does not handle “flight only” problems feeding us back to the number we just called and we’re unable to be helped. BA cost me $5800 overall. We have flown them for years reaching silver and gold status but never again. They under new leadership have sunk to less than a budget low cost airline in customer service while charging premium rates - don’t be fooled.",1,United States
176,2022-06-27,"Not Verified |  The flight was delayed over 6 hours and this of course caused us to missed our connection flight and change to a different route, finally I lost my luggage and no one has any information. I will never again travel with British Airways.",1,Canada
177,2022-06-27,"Not Verified |  Terrible experience with British Airways! I was obligated to check-in my carry-on suitcase due to my group number, according to the girl at the front desk. Then, they could miss my two suitcases, plus the luggage of my boyfriend, who traveled with me. After 3 days, they delivered 2 of our 3 bags, and since then the promise of deliver the last one persists. Now, already 10 days passed, and still no information of where the last suitcase is. Always the promise that the bag will be delivered today, but it never happens! No respect with the customer! First and last time with British Airways for sure! I don't recommend at all!!",1,Netherlands
178,2022-06-25,"✅ Trip Verified |  BA cancelled my flight, I never got on it, couldn't book another and refunded about a quarter of what I spent despite their covid guarantees.  I was booked onto a flight with BA for April 29th 2022 from Hong Kong to London. They cancelled the flight so I looked at rebooking for a later date; COVID ticketing flexibility assurances? Couldn't find a flight up to and including October. So I opted for the refund thinking I'd get a full refund. I was refunded about 1/5 of what I paid. I called their service centre for an explanation as I couldn't fathom how they could cancel the flight, not have any other flights available and I didn't get a full refund. Each phone call takes about 45 minutes before you get to talk to customer service. And thats where the frustration begins. The customer service people were adamant that a full refund should be given and asked me to wait while they escalate the case. A month later and about 6 phone calls later, thats 6 hours waiting on the phone, they finally refunded me a little more - in total less than 1/4 of what I paid. It would seem to get a refund in increments I would have had to call their customer service for them to take me round in circles until I got frustrated and give up. So instead of calling I enquired about this via their website .. just for an answer as to why I wasn't getting a full refund. I didn't cancel my booking, neither was it my fault they decided to stop flight to HK. After another month of waiting ... this is the reason they gave in an email. ""Thanks for contacting us about your claim for EU compensation. We're sorry it was necessary to cancel your flight to Heathrow on 29 April 2022. Your claim's been refused because BA0032 was cancelled because of non payable commercial reason. Further to your request, I would advise to kindly get in touch with our customer support team to know the status of the refund, as the same is looked after by our support team. We take all reasonable measures to avoid disruption to a flight and we always consider if there are any other alternative solutions before we make a decision. The cancellation was out of our control and caused unforeseen disruption to our schedule. Thanks again for following this up with us. Please feel free to contact us if we can help you any further and I hope we have the chance to welcome you on board again soon. Best regards British Airways Customer Relations"". I don't know what ""non payable commercial reason"" is. I am out about 250 sterling, going to just leave it their and boycott this company.",1,Hong Kong
179,2022-06-25,"✅ Trip Verified |  Belfast to London on 20 Jun, 0650. I was informed at about 0200 flight BA1427 has been delayed to 0915, will only reach London Heathrow at 1025. I reached the airport at 0445, but BA counter was only open at 0510. At checkin counter, I approached BA ground staff for advice as I have a connecting Singapore Airlines flight at 1125 on the same day. The reply was “it is the customer’s responsibility to contact the airline, there’s nothing we can do”. I was given a card with contact info on BA customer service and sales. For the next 2 hrs in the airport, I have been trying to contact BA, but was told that hotline only operates from 0800, I have to called another number for “urgent cases”, which ever number I dial, I just couldn’t get to speak to any one till 0757. Again, I was told that there’s nothing they could do because my connecting flight is Singapore Airlines. Onboard the aircraft, when I approached for help with my luggage to be placed to the compartment, I was told that it’s the customer’s responsibility to do it on their own.  I would think twice to take BA in the future.",1,Singapore
180,2022-06-24,"Not Verified |  The customer service of British Airways is really bad. You can't reach any call centre agent even after waiting for 30 mins. Now, I really appreciate Emirates and Turkish Airlines after facing BA's low quality customer service. Not only the customer service but the food they offer during a long haul (LDN-JNB) is really low quality. Other airline operators which are working with Do&Co for flight catering are way better than BA. I guess BA has selected the lowest budget option from Do&Co. Overall my rating is 2/5 for BA - you can feel how stingy BA is when you fly with them. Note: Respect to their cabin crew",4,United Kingdom
181,2022-06-23,"✅ Trip Verified | BA is still charging premium airlines fares however delivering nothing better than what a low cost offers. Seat does not recline, legroom is minimal causing anyone taller than 1.60m a torture to fly as being in a sardine can. Good old times of being a glamour flying BA has far gone. Ground force almost reduced to 0, only a very cheap pack of crispy and water. The only positive side is the cabin crew always there for you and happy, or well pretending at least. For the price they charge I advise every passenger to fly any other low cost airline as an alternative. You pay extra for absolutely nothing.",1,United Kingdom
182,2022-06-23,"✅ Trip Verified |  This a new route which BA introduced at the beginning of June after several years of Covid related delays. The business class experience was I fear typical of the nickel & dime policies introduced by the airline over the past decade. Plus - helpful and friendly FA. Minuses - The cabin was fairly cramped with six seats across. Each pod had surprisingly little room with only very limited storage space. It was hard to adjust the seat, particularly getting it to lie flat - even the FA found it difficult. The in-flight entertainment was very limited with a poor choice of films, TV programmes and music. The food choice and quality was poor - one of the three mains was unavailable and my pea and mushroom risotto was almost inedible: the cheese selection was also poor. I don't know what the business class offerings from BA's rivals flying similar routes are like, but the experience does not match up to that provided by Singapore Airlines on their flights to the Far East and Australasia.",4,United Kingdom
183,2022-06-22,"✅ Trip Verified |  As a regular BA customer on European flights, it is sad but true to note that standards continue to slip, particularly ground service at LHR and the atrocious handling of delays. Staff at the entrance to the First Wing was brusque to put it mildly, rude to be accurate. Flight boarded at 1835 for a 1900 departure. 45 mins later, 4 late customers were allowed to board, and not a single PA or apology from the flight deck or crew. The benefit of low cost airlines is they they don't hang around for latecomers, sadly BA is in a time warp over this. BA pilots used to be some of the best for updating status, but this has dropped dramatically in the last 2-3 years. The food standards and choices in the T5 First Lounge are one of the items that have been improved post Covid. Inflight service on this short 2h 40m flight was a light dinner tray, only 2 choices by row 3 - with 32 passengers in Club Europe only 4 salad options were available. No printed menu offered and the cabin staff explained he had only been given 10 menus for 32 customers. It appears there is no supply control in place at BA. Food quality was okay, but while Do&Co supply this, the Do&Co meals on Turkish Airlines remain superior to what BA manages (I flew Turkish 10 days ago). Staff service was perfunctory, but no attempt to interact with any customers in Club Europe cabin. I end where I started, BA standards continue to slip. ",5,United Kingdom
